教育,1.0
大傢,0.7392142236322633
科技,0.6590089626954246
部分,0.523072608639601
希望,0.46937465861872607
教育部,0.40920819180672857
可能,0.398052269574044
分享,0.34730040184245115
知道,0.32447287812589815
需要,0.31860562344070664
人才,0.28446928677914035
台北,0.27678827996234956
閤作,0.2476288938563904
孩子,0.2386057117446734
工作,0.22632852527061523
包括,0.2155473378869272
中心,0.20669588800701433
特色,0.2015906200184965
培育,0.19369321031497244
朋友,0.1897021369598376
看到,0.16808701814150342
基本,0.16496846176321808
能力,0.1535359261699776
好像,0.14644344732727818
再造,0.14435115421754455
叫做,0.14307448954842997
作品,0.14033494290348278
方向,0.13402082628204096
方面,0.13349890744109078
地方,0.1327512159094895
研究,0.13194421735270606
方式,0.13086839767385258
公司,0.12825944081336615
主持人,0.12797745468375257
相信,0.12771653137823674
政策,0.1264786417894418
回到,0.12109113744615164
政府,0.12085885861376447
人生,0.1199911156895357
提供,0.11643669191915403
吸引,0.11593002169204729
基地,0.11456765578412514
交易,0.10897258724048367
事情,0.1077916218998175
找到,0.1052289762794911
提到,0.10464519562058033
需求,0.10451911124467
得到,0.10370106416315521
管理,0.10344199449778149
精神,0.10311475418500145
成果,0.10165659361825546
食物,0.10121001227048378
招生,0.09761110316758123
使用,0.09511178402936363
提升,0.09186297108249271
策略,0.09142493503833081
教室,0.08756405347435565
教授,0.08729776052108226
要求,0.08702684751086212
成立,0.08171070238131516
支持,0.08157848686106703
科系,0.08111927947791145
記之斯,0.07963627292920757
提出,0.07888742187648488
想要,0.0776110123966443
利用,0.07691995267503582
投入,0.07429776613098021
不能,0.07363791659626193
日本,0.07048451717381148
典範,0.06772313145103849
配合,0.06631383034244202
想到,0.06444065176205518
禁止,0.06435694324082566
校友,0.06380937556157948
完成,0.06345032104202614
整合,0.06333664180472531
代表,0.06242144608666177
直播,0.06130420160638474
操作,0.06130126258417888
台北市,0.06084323856688075
值得,0.0603881047635243
創可,0.060019915943510166
平台,0.05948020806223084
位置,0.05796292296388136
拿到,0.05706630566352097
工程,0.05678147492537524
世界,0.056439217057538356
肯定,0.05629245056652503
具有,0.05527906584126048
色情,0.05463107187047079
印象,0.053027656807564195
城市,0.05255254080504412
扮演,0.052163805805515724
模具,0.052127033165585875
分析,0.05173565586247181
注意,0.0493339609556495
加上,0.04914960092435218
技能,0.04906366031304697
包含,0.04901350559660729
休息,0.04831944877385577
製度,0.047857149323409814
想法,0.047834284891309815
全球,0.04759632526098839
符合,0.047114057392017954
角色,0.04691102295242248
自造,0.04647319861810077
概念,0.04585633893061691
名字,0.04567364461485703
增加,0.04533980698166833
不到,0.0452765835321794
才能,0.044603550933787754
核心,0.04404254876405633
香港,0.04399131160463379
效果,0.043420034675473396
生活,0.04327960635216997
建立,0.043235667097768556
工程系,0.0428080264929913
利益,0.04232366491769442
材料,0.04189857248420135
成就,0.041470440513594393
上市,0.04123647430933521
期待,0.04120139139547433
方案,0.041088037757440535
道理,0.04097261571062924
妻子,0.040826756684913805
看看,0.04079280630802447
人力,0.040652686543960065
金融,0.04048853934719196
沒錯,0.039868885965962844
基因,0.03983793603877552
排名,0.03939175824058853
研究所,0.039026231719761495
病人,0.03901991348000995
全部,0.0384451449897572
錶示,0.03799902508305288
齣去,0.037661368591956984
故事,0.03742423357720135
昆山,0.03716457674152586
加工,0.037121239705227925
颱南,0.036992617409167386
搭配,0.03638685687256635
巴勒斯坦,0.03634685514437268
做齣,0.03561251468837626
高雄市,0.035598288845769675
做法,0.03556043152827298
背景,0.03543794485614431
陪伴,0.03523761114200606
改成,0.03477884711988823
跟著,0.03464476152010455
安排,0.03437083169859054
理念,0.03421004176696831
先生,0.03398961060409883
做好,0.033926040941812265
管道,0.033810852855457534
程序,0.0328860106705888
教育局,0.032517502168003073
接受,0.03241680615054541
集中,0.03234962977996301
祭祀,0.031970053014361476
直到,0.031898746240779964
麵嚮,0.03188687200706602
遇到,0.031727570458969394
民意,0.0315879391705592
帶著,0.031492288101274024
取得,0.031298254984518784
製服,0.031243193711316595
程度,0.03103603656402106
力量,0.030811670659668368
生物,0.030787882646373197
地理,0.03073577501373805
文化,0.030010501146732583
生命,0.029989215309910944
自主,0.029757426818306114
加入,0.029666675086063916
拿下,0.02963874014445903
不夠,0.02950073523657308
谘詢,0.02949685034607823
美容,0.029352583644843663
公立,0.02932281614244595
案子,0.0292936356835852
分成,0.029130733568996283
全世界,0.028831505997649796
等到,0.028757410902046816
受到,0.028613016350754035
思考,0.02853489811755314
配音,0.028345506775536686
熟悉,0.028271248634582632
迴去,0.028243830199846505
不行,0.02819335682867863
造成,0.028178384705603157
地位,0.02786088612408304
交流,0.027791260536603926
用到,0.027446301848777603
管理係,0.027397778782037967
黑色,0.02726475697336236
展示,0.02715835711706809
定位,0.02699995697899817
大使,0.026894893689835702
新加坡,0.02681390161482224
祭祖,0.026767511052042055
